period,C,J,N,S
5/16/2021 4:15,,0.01,0.01,
5/16/2021 5:15,0.01,0.01,,0.01
5/16/2021 5:30,,0.01,0.01,0.02
5/16/2021 6:00,,,0.01,
5/16/2021 6:30,,0.01,,
5/16/2021 10:00,,,,0.01
5/16/2021 13:15,0.01,,,
5/16/2021 23:45,0,0,0,0
5/17/2021 23:45,0,0,0,0
5/18/2021 6:15,,0.01,,
5/18/2021 23:45,0,0,0,0
5/19/2021 23:45,0,0,0,0
5/20/2021 23:45,0,0,0,0
5/21/2021 23:45,0,0,0,0
5/22/2021 7:30,,0.01,,
5/22/2021 23:45,0,0,0,0
5/23/2021 14:45,,0.01,,
5/23/2021 15:00,0.01,,0.08,0.06
5/23/2021 15:15,,,0.02,
5/23/2021 16:00,,0.02,0.01,0.01
5/23/2021 16:15,0.01,0.02,,
5/23/2021 16:30,0.01,0.03,0.02,0.02
5/23/2021 16:45,0.01,0.02,0.01,0.04
5/23/2021 17:00,0.01,0.05,0.01,0.06
5/23/2021 17:15,0.01,0.07,0.01,0.06
5/23/2021 17:30,0.07,0.05,0.03,0.1
5/23/2021 17:45,0.03,0.02,0.04,0.04
5/23/2021 18:00,,,0.01,
5/23/2021 19:45,,,,0.01
5/23/2021 20:00,,,0.01,
5/23/2021 20:30,0.01,,,
5/23/2021 20:45,,,0.01,
5/23/2021 23:45,0,0,0,0
5/24/2021 2:00,,0.01,,
5/24/2021 23:45,0,0,0,0
5/25/2021 23:45,0,0,0,0
5/26/2021 5:30,,0.01,,0.01
5/26/2021 6:00,0.01,0.01,0.03,
5/26/2021 6:15,0.02,0.02,0.04,0.03
5/26/2021 6:30,,0.01,0.01,0.01
5/26/2021 6:45,0.01,0.01,0.01,0.01
5/26/2021 7:00,,0.01,0.01,0.01
5/26/2021 7:15,0.06,0.06,0.06,0.03
5/26/2021 7:30,0.05,0.06,0.06,0.09
5/26/2021 7:45,0.07,0.07,0.09,0.07
5/26/2021 8:00,,0.03,0.01,
5/26/2021 8:15,0.01,0.01,,0.01
5/26/2021 8:30,,0.01,0.01,0.01
5/26/2021 8:45,0.01,,,0.01
5/26/2021 9:00,,0.01,,
5/26/2021 9:15,,,0.01,
5/26/2021 9:30,0.01,,,0.01
5/26/2021 9:45,,0.01,0.01,
5/26/2021 10:00,0.01,0.01,,0.01
5/26/2021 10:15,,,0.01,
5/26/2021 10:30,,,,0.01
5/26/2021 14:45,,0.01,,
5/26/2021 23:45,0,0,0,0
5/27/2021 23:45,0,0,0,0
5/28/2021 1:15,0.03,0.03,0.03,0.03
5/28/2021 1:30,0.06,0.07,0.07,0.08
5/28/2021 1:45,0.06,0.07,0.05,0.04
5/28/2021 2:00,,,0.02,0.01
5/28/2021 2:15,0.01,,0.01,0.01
5/28/2021 3:00,0.01,0.01,,
5/28/2021 3:15,0.01,0.01,0.03,
5/28/2021 3:30,,0.01,,
5/28/2021 4:15,0.01,0.01,,0.01
5/28/2021 4:30,0.02,0.02,0.02,
5/28/2021 6:45,,,0.01,
